gap,date,break_hour,break_time,broken_level,broken_side,contract,direction,extension_pct,extension_pts,first_break_time,gap_minutes,held_all_day,ib1_first_break_side,ib1_first_break_time,ib1_outcome,ib1_range,ib2_break_time,ib2_first_break_side,ib2_outcome,ib2_range,min_distance_pct,min_distance_pts,ratio,second_break_time,side,unbroken_level
1,2021-11-15,,,16158.25,,,,79.2,76.0,,,,,,L_ONLY,,,,,96.0,,,,,LOW,
1,2021-11-16,,,16260.0,,,,57.6,63.75,,,,,,H_ONLY,,,,,110.75,,,,,HIGH,
1,2021-11-17,,,16327.0,,,,121.9,69.5,,,,,,BOTH,,,,,57.0,,,,,HIGH,
1,2021-11-18,,,16421.0,,,,70.0,82.25,,,,,,BOTH,,,,,117.5,,,,,HIGH,
1,2021-11-19,,,16617.0,,,,11.4,11.5,,,,,,BOTH,,,,,100.75,,,,,HIGH,
1,2021-11-22,,,16638.25,,,,202.1,261.25,,,,,,BOTH,,,,,129.25,,,,,LOW,
1,2021-11-23,,,16236.75,,,,65.0,118.25,,,,,,BOTH,,,,,182.0,,,,,LOW,
1,2021-11-24,,,16257.5,,,,71.4,111.0,,,,,,BOTH,,,,,155.5,,,,,HIGH,
1,2021-11-25,,,16379.25,,,,0.0,0.0,,,,,,BOTH,,,,,38.75,,,,,LOW,
1,2021-11-26,,,16116.0,,,,66.8,128.0,,,,,,BOTH,,,,,191.5,,,,,LOW,
1,2021-11-29,,,16314.25,,,,116.8,123.5,,,,,,H_ONLY,,,,,105.75,,,,,HIGH,
1,2021-11-30,,,16319.0,,,,182.3,250.25,,,,,,BOTH,,,,,137.25,,,,,LOW,
1,2021-12-03,,,15733.0,,,,54.5,195.0,,,,,,L_ONLY,,,,,357.5,,,,,LOW,
1,2021-12-06,,,15788.0,,,,47.8,109.25,,,,,,BOTH,,,,,228.75,,,,,HIGH,
1,2021-12-07,,,16268.0,,,,51.2,76.25,,,,,,H_ONLY,,,,,149.0,,,,,HIGH,
1,2021-12-08,,,16356.75,,,,39.0,41.0,,,,,,BOTH,,,,,105.25,,,,,HIGH,
