entry_bar,exit_bar,direction,entry_price,target_price,stop_price,target_offset,stop_offset,exit_type,pnl_points,pnl_dollar,close_at_exit,high_at_exit,low_at_exit,entry_date,entry_time,exit_date,exit_time,mean,stddev,innerTop,innerBot,outerTop,outerBot
28124,28125,long,24655.0,24682.3188,24641.3406,27.3188,13.6594,stop,-13.6594,-273.19,24644.0,24656.25,24638.75,10/10/2025,13:01:22.141001,10/10/2025,13:01:35.802000,24667.205,14.0553,24681.2603,24653.1497,24695.3156,24639.0944
28126,28128,long,24651.25,24679.713,24637.0185,28.463,14.2315,stop,-14.2315,-284.63,24637.5,24642.25,24636.25,10/10/2025,13:01:50.516001,10/10/2025,13:02:28.481004,24665.945,15.2465,24681.1915,24650.6985,24696.438,24635.452
28128,28133,long,24637.5,24667.993,24622.2535,30.493,15.2465,stop,-15.2465,-304.93,24626.0,24627.25,24620.0,10/10/2025,13:02:28.481004,10/10/2025,13:03:03.728000,24661.145,18.4878,24679.6328,24642.6572,24698.1207,24624.1693
28135,28166,long,24624.75,24662.648,24605.801,37.898,18.949,stop,-18.949,-378.98,24606.25,24616.0,24604.0,10/10/2025,13:03:18.028001,10/10/2025,13:09:17.054000,24630.615,15.2677,24645.8827,24615.3473,24661.1504,24600.0796
28166,28176,long,24606.25,24636.7854,24590.9823,30.5354,15.2677,target,30.5354,610.71,24640.0,24640.75,24629.25,10/10/2025,13:09:17.054000,10/10/2025,13:11:30.507000,24622.95,7.7799,24630.7299,24615.1701,24638.5099,24607.3901
28185,28194,short,24646.5,24617.5289,24660.9855,28.9711,14.4855,target,28.9711,579.42,24616.25,24623.75,24616.25,10/10/2025,13:12:14.558007,10/10/2025,13:13:53.979000,24629.65,15.9028,24645.5528,24613.7472,24661.4555,24597.8445
28195,28206,long,24613.25,24645.3848,24597.1826,32.1348,16.0674,target,32.1348,642.7,24640.0,24646.0,24635.5,10/10/2025,13:14:01.085004,10/10/2025,13:15:21.950000,24629.7,16.2138,24645.9138,24613.4862,24662.1276,24597.2724
28206,28211,short,24640.0,24607.5724,24656.2138,32.4276,16.2138,stop,-16.2138,-324.28,24651.0,24658.25,24647.0,10/10/2025,13:15:21.950000,10/10/2025,13:16:03.050000,24632.07,16.8115,24648.8815,24615.2585,24665.6929,24598.4471
28211,28218,short,24651.0,24617.3771,24667.8115,33.6229,16.8115,stop,-16.8115,-336.23,24667.0,24669.5,24660.75,10/10/2025,13:16:03.050000,10/10/2025,13:17:33.293004,24638.645,17.3594,24656.0044,24621.2856,24673.3637,24603.9263
28218,28233,short,24667.0,24632.2813,24684.3594,34.7187,17.3594,target,34.7187,694.37,24632.5,24641.75,24631.0,10/10/2025,13:17:33.293004,10/10/2025,13:20:14.502002,24643.85,16.6007,24660.4507,24627.2493,24677.0514,24610.6486
28236,28244,long,24624.5,24658.1073,24607.6964,33.6073,16.8036,target,33.6073,672.15,24654.5,24658.25,24648.75,10/10/2025,13:20:33.787000,10/10/2025,13:22:00.123000,24643.48,16.4269,24659.9069,24627.0531,24676.3337,24610.6263
28246,28251,short,24668.75,24637.6538,24684.2981,31.0962,15.5481,stop,-15.5481,-310.96,24684.75,24685.5,24678.75,10/10/2025,13:22:17.285001,10/10/2025,13:23:10.391000,24651.37,15.2884,24666.6584,24636.0816,24681.9468,24620.7932
28256,28273,short,24680.75,24648.2517,24696.9992,32.4983,16.2492,stop,-16.2492,-324.98,24696.0,24698.0,24691.0,10/10/2025,13:24:02.685001,10/10/2025,13:27:32.767000,24663.215,19.5798,24682.7948,24643.6352,24702.3745,24624.0555
28273,28280,short,24696.0,24656.8405,24715.5798,39.1595,19.5798,stop,-19.5798,-391.6,24710.75,24716.75,24709.75,10/10/2025,13:27:32.767000,10/10/2025,13:28:23.941001,24670.735,23.2546,24693.9896,24647.4804,24717.2443,24624.2257
28280,28318,short,24710.75,24664.2407,24734.0046,46.5093,23.2546,stop,-23.2546,-465.09,24734.5,24735.0,24730.5,10/10/2025,13:28:23.941001,10/10/2025,13:34:03.573000,24708.38,11.1335,24719.5135,24697.2465,24730.6471,24686.1129
28325,28337,short,24735.25,24711.6117,24747.0691,23.6383,11.8191,stop,-11.8191,-236.38,24749.0,24750.5,24744.0,10/10/2025,13:35:16.238000,10/10/2025,13:37:17.305008,24720.79,13.907,24734.697,24706.883,24748.6039,24692.9761
28339,28348,short,24748.5,24720.8542,24762.3229,27.6458,13.8229,target,27.6458,552.92,24713.75,24729.75,24712.75,10/10/2025,13:37:26.931000,10/10/2025,13:39:10.904009,24725.81,14.5097,24740.3197,24711.3003,24754.8294,24696.7906
28349,28361,long,24711.0,24739.8588,24696.5706,28.8588,14.4294,target,28.8588,577.18,24736.25,24740.5,24735.0,10/10/2025,13:39:14.519000,10/10/2025,13:41:13.167001,24730.62,10.312,24740.932,24720.308,24751.2441,24709.9959
28362,28366,short,24736.25,24716.3688,24746.1906,19.8812,9.9406,reversal,16.25,325.0,24720.0,24731.75,24719.0,10/10/2025,13:41:38.367017,10/10/2025,13:42:33.775000,24732.12,9.272,24741.392,24722.848,24750.6641,24713.5759
