lookback,inner_mult,outer_mult,martingale,total_trades,total_pnl,up_days,down_days,flat_days,trading_days,win_day_pct,avg_up_day,avg_down_day,worst_day,max_drawdown,pnl_maxdd_ratio,largest_single_loss,ev_per_trade,profit_factor,trades_per_day
30,1.0,2.0,m1.5_max2,11390,30244.32,39,21,0,60,65.0,3485.77,-5033.37,-12334.45,30850.76,0.9803,-1792.77,2.66,1.0155,189.83
20,1.5,1.75,m1.5_max2,13252,123295.93,38,22,0,60,63.33,4701.47,-2516.37,-8626.54,11993.4,10.2803,-431.02,9.3,1.1241,220.87
20,1.0,1.25,m1.5_max2,9990,67411.0,38,22,0,60,63.33,2614.91,-1452.52,-4731.9,7165.85,9.4073,-340.96,6.75,1.1093,166.5
20,1.5,1.75,m2.0_max2,13252,117778.52,38,22,0,60,63.33,4559.41,-2521.78,-8942.15,12556.97,9.3795,-431.02,8.89,1.1117,220.87
20,1.0,1.25,m2.0_max2,9990,72723.33,38,22,0,60,63.33,2848.41,-1614.38,-4976.66,8330.71,8.7295,-347.92,7.28,1.1089,166.5
20,1.0,1.25,none,9990,43479.53,38,22,0,60,63.33,1670.64,-909.31,-2776.03,5209.79,8.3457,-234.86,4.35,1.1201,166.5
100,0.75,1.75,none,4430,46621.84,38,22,0,60,63.33,2570.06,-2320.01,-6955.52,8594.39,5.4247,-1464.46,10.52,1.0555,73.83
20,0.75,1.25,none,13838,43871.92,38,22,0,60,63.33,2106.31,-1644.0,-6675.59,8772.9,5.0008,-469.71,3.17,1.0566,230.63
100,1.5,3.0,none,2273,52992.89,38,22,0,60,63.33,2898.4,-2597.56,-7367.81,10967.11,4.832,-1776.9,23.31,1.0782,37.88
20,0.75,1.25,m2.0_max2,13838,70001.97,38,22,0,60,63.33,3639.52,-3104.53,-12550.38,15609.17,4.4847,-705.42,5.06,1.0531,230.63
100,1.5,2.0,none,4744,61553.15,38,22,0,60,63.33,2992.58,-2371.13,-6616.09,13953.11,4.4114,-735.6,12.97,1.0858,79.07
50,0.5,1.75,m1.5_max2,10581,68928.18,38,22,0,60,63.33,4021.87,-3813.76,-11969.26,16623.16,4.1465,-2542.48,6.51,1.0454,176.35
40,1.25,1.75,m1.5_max2,10605,92026.86,38,22,0,60,63.33,4602.74,-3767.15,-15371.43,23515.37,3.9135,-1005.81,8.68,1.0562,176.75
50,0.5,1.75,none,10581,44712.91,38,22,0,60,63.33,2868.25,-2921.85,-10602.12,11700.78,3.8214,-1271.24,4.23,1.0358,176.35
20,0.5,1.25,m1.5_max2,15124,49460.84,38,22,0,60,63.33,2780.59,-2554.62,-8940.18,13603.91,3.6358,-934.71,3.27,1.0409,252.07
40,1.25,1.75,m2.0_max2,10605,79449.23,38,22,0,60,63.33,4619.21,-4367.31,-16898.0,29024.64,2.7373,-1005.81,7.49,1.0439,176.75
40,1.25,2.5,none,7070,40159.91,38,22,0,60,63.33,2888.66,-3164.06,-8451.14,15636.09,2.5684,-1216.48,5.68,1.0341,117.83
100,0.5,2.0,none,5526,43877.03,38,22,0,60,63.33,2729.8,-2720.7,-6720.3,18407.03,2.3837,-1818.36,7.94,1.0461,92.1
40,1.0,2.0,m2.0_max2,8761,65550.15,38,22,0,60,63.33,4815.92,-5338.86,-13187.06,28542.57,2.2966,-1873.18,7.48,1.0324,146.02
30,1.25,2.0,m2.0_max2,11704,63611.29,38,22,0,60,63.33,4408.87,-4723.91,-10388.77,27912.66,2.2789,-1344.58,5.44,1.0285,195.07
100,1.25,1.5,none,6018,38049.29,38,22,0,60,63.33,2369.04,-2362.47,-12651.26,17074.05,2.2285,-381.7,6.32,1.075,100.3
40,1.25,3.0,none,5770,39694.45,38,22,0,60,63.33,3022.21,-3415.89,-9074.26,21061.86,1.8847,-1482.83,6.88,1.0361,96.17
30,1.5,2.0,m1.5_max2,12678,43543.1,38,22,0,60,63.33,3812.43,-4605.88,-11691.21,30851.04,1.4114,-896.38,3.43,1.0234,211.3
75,0.5,3.0,m2.0_max2,5802,18271.47,38,22,0,60,63.33,3837.2,-5797.37,-15552.99,44851.63,0.4074,-4138.31,3.15,1.0143,96.7
20,1.0,3.0,m2.0_max2,12509,18779.94,38,22,0,60,63.33,4640.25,-7161.34,-21081.79,51117.17,0.3674,-2306.3,1.5,1.0078,208.48
30,0.5,3.0,m1.5_max2,13543,7265.0,38,22,0,60,63.33,3018.36,-4883.3,-13850.67,30651.55,0.237,-4055.99,0.54,1.0045,225.72
20,1.5,1.75,none,13252,58863.96,37,23,0,60,61.67,2393.15,-1290.55,-5053.37,6971.42,8.4436,-225.61,4.44,1.1058,220.87
20,1.25,1.5,none,11806,36240.41,37,23,0,60,61.67,1610.03,-1014.38,-4725.23,5986.97,6.0532,-237.3,3.07,1.0774,196.77
75,1.5,2.5,m2.0_max2,3896,117399.45,37,23,0,60,61.67,6292.61,-5018.57,-13532.03,20782.92,5.6488,-2458.9,30.13,1.0817,64.93
50,1.5,2.0,m1.5_max2,8381,98182.35,37,23,0,60,61.67,5557.42,-4671.4,-14872.59,21484.26,4.57,-1154.55,11.71,1.0628,139.68
100,1.5,2.5,none,3007,48875.83,37,23,0,60,61.67,2895.97,-2533.7,-7790.42,11459.91,4.2649,-1282.41,16.25,1.0663,50.12
40,1.25,1.5,m2.0_max2,9436,89422.35,37,23,0,60,61.67,4306.49,-3039.9,-8672.58,23109.35,3.8695,-502.91,9.48,1.0912,157.27
40,1.25,1.5,m1.5_max2,9436,88597.66,37,23,0,60,61.67,4243.57,-2974.53,-8608.77,22955.88,3.8595,-502.91,9.39,1.0965,157.27
20,1.25,1.75,none,16588,51946.3,37,23,0,60,61.67,2793.29,-2235.02,-8049.38,13653.69,3.8046,-451.22,3.13,1.046,276.47
100,0.75,2.0,m2.0_max2,4082,70060.23,37,23,0,60,61.67,4492.97,-4181.73,-12876.84,19895.13,3.5215,-3030.6,17.16,1.0529,68.03
20,0.5,1.25,m2.0_max2,15124,62593.22,37,23,0,60,61.67,3456.48,-2838.98,-10320.99,17910.49,3.4948,-1058.12,4.14,1.0429,252.07
