cycle_id,week,category,seed_dt,exit_dt,direction,seed_price,exit_price,exit_type,depth,max_position,pnl_ticks,pnl_dollars,bars_held,mfe_ticks,mae_ticks,agg_bars_held
3390,2025-W46,GOOD,2025-11-12 12:51:49,2025-11-12 12:53:41,SHORT,25565.5,25566.25,REVERSAL,1,2,37.0,178.0,1668,18.5,45.5,8
3391,2025-W46,GOOD,2025-11-12 12:55:09,2025-11-12 12:55:24,SHORT,25579.5,25569.0,REVERSAL,0,1,42.0,206.5,207,42.0,3.0,1
3392,2025-W46,GOOD,2025-11-12 12:55:24,2025-11-12 12:55:40,LONG,25569.0,25579.0,REVERSAL,0,1,40.0,196.5,223,40.0,12.0,2
3393,2025-W46,GOOD,2025-11-12 12:57:20,2025-11-12 12:57:36,SHORT,25594.5,25584.5,REVERSAL,0,1,40.0,196.5,437,40.0,2.0,2
3394,2025-W46,GOOD,2025-11-12 12:58:37,2025-11-12 13:00:20,SHORT,25614.0,25604.0,REVERSAL,0,1,40.0,196.5,1543,40.0,13.0,7
3395,2025-W46,GOOD,2025-11-12 13:04:17,2025-11-12 13:04:31,LONG,25605.0,25615.0,REVERSAL,0,1,40.0,196.5,201,40.0,1.0,1
3396,2025-W46,GOOD,2025-11-12 13:04:31,2025-11-12 13:05:12,SHORT,25615.0,25605.0,REVERSAL,0,1,40.0,196.5,360,40.0,0.0,3
3397,2025-W46,GOOD,2025-11-12 13:10:36,2025-11-12 13:11:22,SHORT,25598.25,25588.25,REVERSAL,0,1,40.0,196.5,700,40.0,9.0,3
3398,2025-W46,GOOD,2025-11-12 13:15:47,2025-11-12 13:16:55,SHORT,25617.5,25607.5,REVERSAL,0,1,40.0,196.5,783,40.0,11.0,4
3399,2025-W46,GOOD,2025-11-12 13:16:55,2025-11-12 13:17:06,LONG,25607.5,25617.5,REVERSAL,0,1,40.0,196.5,175,40.0,0.0,1
3400,2025-W46,GOOD,2025-11-12 13:17:06,2025-11-12 13:17:44,SHORT,25617.5,25617.5,REVERSAL,1,2,40.0,193.0,854,20.0,40.0,5
3401,2025-W46,GOOD,2025-11-12 13:19:31,2025-11-12 13:20:12,SHORT,25624.75,25614.75,REVERSAL,0,1,40.0,196.5,384,40.0,3.0,2
3402,2025-W46,GOOD,2025-11-12 13:24:01,2025-11-12 13:27:37,SHORT,25611.0,25601.0,REVERSAL,0,1,40.0,196.5,2151,40.0,37.0,9
