cycle_id,week,category,seed_dt,exit_dt,direction,seed_price,avg_entry_price,exit_price,exit_type,depth,max_position,pnl_ticks,pnl_dollars,bars_held,mfe_ticks,mae_ticks,entry_signed_chop,entry_dchop,entry_d2chop,entry_signed_slope,entry_dr2,entry_dslope
10020,W50,MID,2025-12-11 12:17:35,2025-12-11 12:20:07,SHORT,25571.2500,25576.2500,25591.2500,HARD_STOP,1,2,-120.0000,-600.0000,1643,2.0000,60.0000,-0.062500,-0.557065,-1.027694,-0.750000,-0.963892,-6.375000
10021,W50,MID,2025-12-11 12:26:16,2025-12-11 12:27:53,SHORT,25617.0000,25617.0000,25607.0000,REVERSAL,0,1,40.0000,200.0000,1407,40.0000,31.0000,-0.094118,-0.697549,-0.852852,-1.000000,-0.470930,-6.125000
10022,W50,MID,2025-12-11 12:32:35,2025-12-11 12:37:36,SHORT,25616.5000,25621.5000,25636.5000,HARD_STOP,1,2,-120.0000,-600.0000,3173,23.0000,60.0000,-0.030000,-0.136667,-0.012194,-0.375000,-0.367400,-1.375000
10023,W50,MID,2025-12-11 12:48:14,2025-12-11 12:48:39,LONG,25619.0000,25619.0000,25629.0000,REVERSAL,0,1,40.0000,200.0000,368,40.0000,8.0000,-0.057971,-0.335472,-0.374076,-0.500000,-0.892857,-2.500000
10024,W50,MID,2025-12-11 12:50:51,2025-12-11 12:51:42,LONG,25610.2500,25610.2500,25620.7500,REVERSAL,0,1,42.0000,210.0000,808,42.0000,20.0000,0.047619,-0.116938,0.244146,0.500000,-0.148897,-1.125000
10025,W50,MID,2025-12-11 12:51:42,2025-12-11 12:53:40,SHORT,25620.7500,25620.7500,25610.7500,REVERSAL,0,1,40.0000,200.0000,1348,40.0000,9.0000,0.009615,-0.323718,-0.414946,0.125000,-0.477293,-4.000000
10026,W50,MID,2025-12-11 12:57:37,2025-12-11 13:00:15,LONG,25587.0000,25587.0000,25597.0000,REVERSAL,0,1,40.0000,200.0000,2686,40.0000,32.0000,0.000000,-0.144578,0.130596,0.000000,-0.296703,-1.500000
10027,W50,MID,2025-12-11 13:01:45,2025-12-11 13:08:42,SHORT,25607.7500,25612.7500,25627.7500,HARD_STOP,1,2,-120.0000,-600.0000,3611,37.0000,60.0000,-0.010417,-0.281718,-0.248272,-0.125000,0.028805,-3.125000
10028,W50,MID,2025-12-11 13:11:03,2025-12-11 13:11:59,LONG,25624.7500,25624.7500,25634.7500,REVERSAL,0,1,40.0000,200.0000,291,40.0000,1.0000,0.000000,-0.258065,-0.295541,0.000000,-0.964286,-3.000000
10029,W50,MID,2025-12-11 13:16:09,2025-12-11 13:21:25,LONG,25628.0000,25628.0000,25638.0000,REVERSAL,0,1,40.0000,200.0000,2095,40.0000,18.0000,-0.067568,-0.132432,-0.210481,-0.625000,-0.532445,-1.250000
10030,W50,MID,2025-12-11 13:23:21,2025-12-11 13:23:37,LONG,25616.2500,25616.2500,25627.0000,REVERSAL,0,1,43.0000,215.0000,289,43.0000,10.0000,-0.046296,-0.519741,-0.503255,-0.625000,-0.970494,-6.875000
10031,W50,MID,2025-12-11 13:25:02,2025-12-11 13:25:14,SHORT,25639.7500,25639.7500,25629.5000,REVERSAL,0,1,41.0000,205.0000,208,41.0000,3.0000,0.089109,-0.099570,0.045084,1.125000,-0.308296,-1.375000
10032,W50,MID,2025-12-11 13:25:14,2025-12-11 13:26:58,LONG,25629.5000,25624.5000,25609.5000,HARD_STOP,1,2,-120.0000,-600.0000,1438,33.0000,60.0000,0.089109,-0.099570,0.045084,1.125000,-0.308296,-1.375000
10033,W50,MID,2025-12-11 13:27:59,2025-12-11 13:28:23,SHORT,25626.7500,25626.7500,25616.7500,REVERSAL,0,1,40.0000,200.0000,312,40.0000,11.0000,0.081967,-0.427467,-0.862433,1.250000,-0.883141,-5.500000
10034,W50,MID,2025-12-11 13:30:07,2025-12-11 13:33:47,SHORT,25623.2500,25623.2500,25613.2500,REVERSAL,0,1,40.0000,200.0000,2095,40.0000,16.0000,-0.030612,-0.081888,0.158553,-0.375000,-0.109333,-0.750000
10035,W50,MID,2025-12-11 13:37:38,2025-12-11 13:40:22,SHORT,25650.7500,25655.7500,25670.7500,HARD_STOP,1,2,-120.0000,-600.0000,1790,0.0000,60.0000,0.010526,-0.443082,-0.785579,0.125000,-0.964243,-5.375000
10036,W50,MID,2025-12-11 13:43:32,2025-12-11 13:45:49,SHORT,25683.5000,25683.5000,25673.5000,REVERSAL,0,1,40.0000,200.0000,1491,40.0000,11.0000,0.037037,-0.606799,-1.037519,0.375000,-0.985457,-5.500000
10037,W50,MID,2025-12-11 13:48:38,2025-12-11 13:49:18,LONG,25664.0000,25664.0000,25674.0000,REVERSAL,0,1,40.0000,200.0000,462,40.0000,4.0000,-0.023256,-0.285255,-0.226677,-0.250000,-0.945994,-3.375000
